Interval,avg_pixels_gt250
"(60, 500)",218.24311822249186
"(850, 1160)",51711.6838876332
"(1167, 1470)",39284.718502202646
"(1490, 1777)",29631.35123822811
"(1790, 2078)",19734.337851929093
"(2095, 2389)",7452.50051072523
"(2418, 2723)",5248.435510338038
"(2747, 3034)",3603.0850964891883
"(3051, 3331)",2214.1601525262154
"(3355, 3627)",1423.240186457311
"(3658, 3929)",897.5281950258557
"(3954, 4232)",528.0072011521844
